id,section_students,student_sections,,,,
1,1,1,,,,
2,1,2,,,,
3,1,3,,,,
4,1,4,,,,
5,1,5,,,,
6,2,6,,,,
7,2,7,,,,
8,2,8,,,,
9,2,9,,,,
10,2,10,,,,
11,3,11,,,,
12,3,12,,,,
13,3,13,,,,
14,3,14,,,,
15,3,15,,,,
16,4,16,,,,
17,4,17,,,,
18,4,18,,,,
19,4,19,,,,
20,4,20,,,,
21,5,21,,,,
22,5,22,,,,
23,5,23,,,,
24,5,24,,,,
25,5,25,,,,
26,6,26,,,,
27,6,27,,,,
28,6,28,,,,
29,6,29,,,,
30,6,30,,,,
31,7,31,,,,
32,7,32,,,,
33,7,33,,,,
34,7,34,,,,
35,7,35,,,,
36,8,36,,,,
37,8,37,,,,
38,8,38,,,,
39,8,39,,,,
40,8,40,,,,
41,9,41,,,,
42,9,42,,,,
43,9,43,,,,
44,9,44,,,,
45,9,45,,,,
46,10,46,,,,
47,10,47,,,,
48,10,48,,,,
49,10,49,,,,
50,10,50,,,,
51,2,1,,,,
52,2,2,,,,
53,2,3,,,,
54,2,4,,,,
55,3,5,,,,
56,5,1,,,,
57,10,2,,,,
